Id,GlobalProgram
622a82ebe9472188f9267917,New Markets - AWS
621cd4789515a1b4323ed755,High Velocity - B&R
621d100e9515a1b4323f0995,High Touch - Enterprise/Upper Commercial
6238d2c5645ae45be16cb387,High Velocity - M365
6238d2f4645ae45be16cbcbf,High Velocity - M365
6238d32f645ae45be16ccb57,High Velocity - M365
6238d35f645ae45be16cd49f,High Velocity - M365
6238d39f645ae45be16cddef,High Velocity - M365
6238d3c4645ae45be16ce747,High Velocity - M365
6238d4d6645ae45be16d12ff,High Velocity - M365
6238d52b645ae45be16d2037,High Velocity - M365
6238d59c645ae45be16d38f3,High Velocity - M365
6238d5d6645ae45be16d428b,High Velocity - M365
6238d5ee645ae45be16d4c2b,High Velocity - M365
6238d607645ae45be16d55e3,High Velocity - M365
6238d64b645ae45be16d5bc3,High Velocity - M365
6238d670645ae45be16d7033,High Velocity - M365
6238d6a5645ae45be16d7a03,High Velocity - M365
6238d6d8645ae45be16d83cb,High Velocity - M365
6238d70a645ae45be16d8d9b,High Velocity - M365
6238d737645ae45be16d9773,High Velocity - M365
6238d77a645ae45be16da153,High Velocity - M365
6238d7d7645ae45be16dab3b,High Velocity - M365
6238d7fe645ae45be16db52b,High Velocity - M365
6238d1f0645ae45be16c8f56,High Velocity - M365
6238d283645ae45be16ca4ff,High Velocity - M365
622a0a5ae9472188f925efa8,Market Forces - Ransomware
622a5f2be9472188f92661cf,Market Forces - Ransomware
61e0831dad36657ec43c2e99,High Velocity - B&R
620bbd2cec3396c30413a7f5,High Velocity - B&R
620f5e7dec3396c30416cb9f,High Velocity - B&R
6217a0f4ec3396c30419f86c,High Velocity - B&R
6217a165ec3396c3041a04c4,High Velocity - B&R
6217a1cdec3396c3041a1124,High Velocity - B&R
6217a1fbec3396c3041a1d8c,High Velocity - B&R
6217a238ec3396c3041a35f4,High Velocity - B&R
6217a25dec3396c3041a426c,High Velocity - B&R
6218e6c8ec3396c3041c6c3d,High Velocity - B&R
6218e7deec3396c3041c78c5,High Velocity - B&R
6218e820ec3396c3041c853d,High Velocity - B&R
6218e8afec3396c3041c91d5,High Velocity - B&R
6218eaa4ec3396c3041cb1f5,High Velocity - B&R
6218eb04ec3396c3041cbea5,High Velocity - B&R
621cbf189515a1b4323ea03f,High Velocity - B&R
621cbff29515a1b4323ea607,High Velocity - B&R
621cc06a9515a1b4323ead67,High Velocity - B&R
621cd26c9515a1b4323eb6df,High Velocity - B&R
621cd2ff9515a1b4323ebe47,High Velocity - B&R
621cd3459515a1b4323ecb0f,High Velocity - B&R
621cd3879515a1b4323ed143,High Velocity - B&R
621e3f3b9515a1b43240592f,High Touch - Enterprise/Upper Commercial
621e8dfe9515a1b43240ca2e,High Touch - Enterprise/Upper Commercial
622025d69515a1b432429684,New Markets - AWS
622027629515a1b432429c54,New Markets - AWS
622027d09515a1b43242a214,New Markets - AWS
622028839515a1b43242a816,New Markets - AWS
622028e69515a1b43242ade6,New Markets - AWS
62202c0a9515a1b4324306e3,New Markets - AWS
622659b9291189ae31dc06a3,Market Forces - Ransomware
62265b6f291189ae31dcc56b,Partner - Alliances - HPE
62265bca291189ae31dcd5eb,Partner - Alliances - Cisco
62265c49291189ae31dcdbbb,Partner - Alliances - Pure Storage
622660c6291189ae31dce6db,New Markets - AWS
62279c2f985b20089c7fec42,High Touch - Enterprise/Upper Commercial
622a098fe9472188f925e6d7,Market Forces - Ransomware
6238d233645ae45be16c9876,High Velocity - M365
6238d3ee645ae45be16cf0a7,High Velocity - M365
6238d416645ae45be16cfa1f,High Velocity - M365
6238d427645ae45be16d038f,High Velocity - M365
6238d436645ae45be16d096f,High Velocity - M365
